Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
895;10 Arbeit, Studium & Kreativität;veta;Satz;Dnes si zapamätám slovo „veta“.;Heute merke ich mir das Wort „Satz“.
896;10 Arbeit, Studium & Kreativität;jazyk;Sprache;Dnes si zapamätám slovo „jazyk“.;Heute merke ich mir das Wort „Sprache“.
897;10 Arbeit, Studium & Kreativität;slovenčina;Slowakisch;Dnes si zapamätám slovo „slovenčina“.;Heute merke ich mir das Wort „Slowakisch“.
898;10 Arbeit, Studium & Kreativität;nemčina;Deutsch;Dnes si zapamätám slovo „nemčina“.;Heute merke ich mir das Wort „Deutsch“.
899;10 Arbeit, Studium & Kreativität;angličtina;Englisch;Dnes si zapamätám slovo „angličtina“.;Heute merke ich mir das Wort „Englisch“.
900;10 Arbeit, Studium & Kreativität;preklad;Übersetzung;Dnes si zapamätám slovo „preklad“.;Heute merke ich mir das Wort „Übersetzung“.
901;10 Arbeit, Studium & Kreativität;význam;Bedeutung;Dnes si zapamätám slovo „význam“.;Heute merke ich mir das Wort „Bedeutung“.
902;10 Arbeit, Studium & Kreativität;chyba;Fehler;Dnes si zapamätám slovo „chyba“.;Heute merke ich mir das Wort „Fehler“.
903;10 Arbeit, Studium & Kreativität;príklad;Beispiel;Dnes si zapamätám slovo „príklad“.;Heute merke ich mir das Wort „Beispiel“.
904;10 Arbeit, Studium & Kreativität;cvičenie;Übung;Dnes si zapamätám slovo „cvičenie“.;Heute merke ich mir das Wort „Übung“.
905;10 Arbeit, Studium & Kreativität;poznámka;Notiz;Dnes si zapamätám slovo „poznámka“.;Heute merke ich mir das Wort „Notiz“.
906;10 Arbeit, Studium & Kreativität;kniha;Buch;Dnes si zapamätám slovo „kniha“.;Heute merke ich mir das Wort „Buch“.
907;10 Arbeit, Studium & Kreativität;strana;Seite;Dnes si zapamätám slovo „strana“.;Heute merke ich mir das Wort „Seite“.
908;10 Arbeit, Studium & Kreativität;kapitola;Kapitel;Dnes si zapamätám slovo „kapitola“.;Heute merke ich mir das Wort „Kapitel“.
909;10 Arbeit, Studium & Kreativität;počítač;Computer;Dnes si zapamätám slovo „počítač“.;Heute merke ich mir das Wort „Computer“.
910;10 Arbeit, Studium & Kreativität;notebook;Laptop;Dnes si zapamätám slovo „notebook“.;Heute merke ich mir das Wort „Laptop“.
911;10 Arbeit, Studium & Kreativität;obrazovka;Bildschirm;Dnes si zapamätám slovo „obrazovka“.;Heute merke ich mir das Wort „Bildschirm“.
912;10 Arbeit, Studium & Kreativität;klávesnica;Tastatur;Dnes si zapamätám slovo „klávesnica“.;Heute merke ich mir das Wort „Tastatur“.
913;10 Arbeit, Studium & Kreativität;myš;Maus;Dnes si zapamätám slovo „myš“.;Heute merke ich mir das Wort „Maus“.
914;10 Arbeit, Studium & Kreativität;súbor;Datei;Dnes si zapamätám slovo „súbor“.;Heute merke ich mir das Wort „Datei“.
915;10 Arbeit, Studium & Kreativität;priečinok;Ordner;Dnes si zapamätám slovo „priečinok“.;Heute merke ich mir das Wort „Ordner“.
916;10 Arbeit, Studium & Kreativität;program;Programm;Dnes si zapamätám slovo „program“.;Heute merke ich mir das Wort „Programm“.
917;10 Arbeit, Studium & Kreativität;aplikácia;App;Dnes si zapamätám slovo „aplikácia“.;Heute merke ich mir das Wort „App“.
918;10 Arbeit, Studium & Kreativität;web;Web;Dnes si zapamätám slovo „web“.;Heute merke ich mir das Wort „Web“.
919;10 Arbeit, Studium & Kreativität;stránka;Webseite/Seite;Dnes si zapamätám slovo „stránka“.;Heute merke ich mir das Wort „Webseite/Seite“.
920;10 Arbeit, Studium & Kreativität;heslo;Passwort;Dnes si zapamätám slovo „heslo“.;Heute merke ich mir das Wort „Passwort“.
921;10 Arbeit, Studium & Kreativität;email;E-Mail;Dnes si zapamätám slovo „email“.;Heute merke ich mir das Wort „E-Mail“.
922;10 Arbeit, Studium & Kreativität;fotografia;Fotografie;Dnes si zapamätám slovo „fotografia“.;Heute merke ich mir das Wort „Fotografie“.
923;10 Arbeit, Studium & Kreativität;fotka;Foto;Dnes si zapamätám slovo „fotka“.;Heute merke ich mir das Wort „Foto“.
924;10 Arbeit, Studium & Kreativität;fotoaparát;Kamera;Dnes si zapamätám slovo „fotoaparát“.;Heute merke ich mir das Wort „Kamera“.
925;10 Arbeit, Studium & Kreativität;objektív;Objektiv;Dnes si zapamätám slovo „objektív“.;Heute merke ich mir das Wort „Objektiv“.
926;10 Arbeit, Studium & Kreativität;video;Video;Dnes si zapamätám slovo „video“.;Heute merke ich mir das Wort „Video“.
927;10 Arbeit, Studium & Kreativität;film;Film;Dnes si zapamätám slovo „film“.;Heute merke ich mir das Wort „Film“.
928;10 Arbeit, Studium & Kreativität;hudba;Musik;Dnes si zapamätám slovo „hudba“.;Heute merke ich mir das Wort „Musik“.
929;10 Arbeit, Studium & Kreativität;pieseň;Lied;Dnes si zapamätám slovo „pieseň“.;Heute merke ich mir das Wort „Lied“.
930;10 Arbeit, Studium & Kreativität;zvuk;Ton;Dnes si zapamätám slovo „zvuk“.;Heute merke ich mir das Wort „Ton“.
931;10 Arbeit, Studium & Kreativität;farba;Farbe;Dnes si zapamätám slovo „farba“.;Heute merke ich mir das Wort „Farbe“.
932;10 Arbeit, Studium & Kreativität;tvar;Form;Dnes si zapamätám slovo „tvar“.;Heute merke ich mir das Wort „Form“.
933;10 Arbeit, Studium & Kreativität;materiál;Material;Dnes si zapamätám slovo „materiál“.;Heute merke ich mir das Wort „Material“.
934;10 Arbeit, Studium & Kreativität;dizajn;Design;Dnes si zapamätám slovo „dizajn“.;Heute merke ich mir das Wort „Design“.
935;10 Arbeit, Studium & Kreativität;návrh;Entwurf;Dnes si zapamätám slovo „návrh“.;Heute merke ich mir das Wort „Entwurf“.
936;10 Arbeit, Studium & Kreativität;model;Modell;Dnes si zapamätám slovo „model“.;Heute merke ich mir das Wort „Modell“.
937;10 Arbeit, Studium & Kreativität;prototyp;Prototyp;Dnes si zapamätám slovo „prototyp“.;Heute merke ich mir das Wort „Prototyp“.
938;10 Arbeit, Studium & Kreativität;výrobok;Produkt;Dnes si zapamätám slovo „výrobok“.;Heute merke ich mir das Wort „Produkt“.
939;10 Arbeit, Studium & Kreativität;produkt;Produkt;Dnes si zapamätám slovo „produkt“.;Heute merke ich mir das Wort „Produkt“.
940;10 Arbeit, Studium & Kreativität;obrázok;Bild;Dnes si zapamätám slovo „obrázok“.;Heute merke ich mir das Wort „Bild“.
941;10 Arbeit, Studium & Kreativität;kresba;Zeichnung;Dnes si zapamätám slovo „kresba“.;Heute merke ich mir das Wort „Zeichnung“.
942;10 Arbeit, Studium & Kreativität;umenie;Kunst;Dnes si zapamätám slovo „umenie“.;Heute merke ich mir das Wort „Kunst“.
943;10 Arbeit, Studium & Kreativität;umelec;Künstler;Dnes si zapamätám slovo „umelec“.;Heute merke ich mir das Wort „Künstler“.
944;10 Arbeit, Studium & Kreativität;dizajnér;Designer;Dnes si zapamätám slovo „dizajnér“.;Heute merke ich mir das Wort „Designer“.
945;10 Arbeit, Studium & Kreativität;fotograf;Fotograf;Dnes si zapamätám slovo „fotograf“.;Heute merke ich mir das Wort „Fotograf“.
946;10 Arbeit, Studium & Kreativität;kamera;Kamera;Dnes si zapamätám slovo „kamera“.;Heute merke ich mir das Wort „Kamera“.
947;10 Arbeit, Studium & Kreativität;tieň;Schatten;Dnes si zapamätám slovo „tieň“.;Heute merke ich mir das Wort „Schatten“.
948;10 Arbeit, Studium & Kreativität;kompozícia;Komposition;Dnes si zapamätám slovo „kompozícia“.;Heute merke ich mir das Wort „Komposition“.
949;10 Arbeit, Studium & Kreativität;štruktúra;Struktur;Dnes si zapamätám slovo „štruktúra“.;Heute merke ich mir das Wort „Struktur“.
950;10 Arbeit, Studium & Kreativität;povrch;Oberfläche;Dnes si zapamätám slovo „povrch“.;Heute merke ich mir das Wort „Oberfläche“.
951;10 Arbeit, Studium & Kreativität;detail;Detail;Dnes si zapamätám slovo „detail“.;Heute merke ich mir das Wort „Detail“.
952;10 Arbeit, Studium & Kreativität;kvalita;Qualität;Dnes si zapamätám slovo „kvalita“.;Heute merke ich mir das Wort „Qualität“.
953;10 Arbeit, Studium & Kreativität;veľkosť;Größe;Dnes si zapamätám slovo „veľkosť“.;Heute merke ich mir das Wort „Größe“.
954;10 Arbeit, Studium & Kreativität;rozmer;Maß/Dimension;Dnes si zapamätám slovo „rozmer“.;Heute merke ich mir das Wort „Maß/Dimension“.
955;10 Arbeit, Studium & Kreativität;šírka;Breite;Dnes si zapamätám slovo „šírka“.;Heute merke ich mir das Wort „Breite“.
956;10 Arbeit, Studium & Kreativität;výška;Höhe;Dnes si zapamätám slovo „výška“.;Heute merke ich mir das Wort „Höhe“.
957;10 Arbeit, Studium & Kreativität;dĺžka;Länge;Dnes si zapamätám slovo „dĺžka“.;Heute merke ich mir das Wort „Länge“.
958;10 Arbeit, Studium & Kreativität;hmotnosť;Gewicht;Dnes si zapamätám slovo „hmotnosť“.;Heute merke ich mir das Wort „Gewicht“.
959;10 Arbeit, Studium & Kreativität;cena;Preis;Dnes si zapamätám slovo „cena“.;Heute merke ich mir das Wort „Preis“.
960;10 Arbeit, Studium & Kreativität;peniaze;Geld;Dnes si zapamätám slovo „peniaze“.;Heute merke ich mir das Wort „Geld“.
961;10 Arbeit, Studium & Kreativität;euro;Euro;Dnes si zapamätám slovo „euro“.;Heute merke ich mir das Wort „Euro“.
962;10 Arbeit, Studium & Kreativität;firma;Firma;Dnes si zapamätám slovo „firma“.;Heute merke ich mir das Wort „Firma“.
963;10 Arbeit, Studium & Kreativität;klient;Kunde/Klient;Dnes si zapamätám slovo „klient“.;Heute merke ich mir das Wort „Kunde/Klient“.
964;10 Arbeit, Studium & Kreativität;zákazka;Auftrag;Dnes si zapamätám slovo „zákazka“.;Heute merke ich mir das Wort „Auftrag“.
965;10 Arbeit, Studium & Kreativität;zmluva;Vertrag;Dnes si zapamätám slovo „zmluva“.;Heute merke ich mir das Wort „Vertrag“.
966;10 Arbeit, Studium & Kreativität;ponuka;Angebot;Dnes si zapamätám slovo „ponuka“.;Heute merke ich mir das Wort „Angebot“.
967;10 Arbeit, Studium & Kreativität;faktúra;Rechnung;Dnes si zapamätám slovo „faktúra“.;Heute merke ich mir das Wort „Rechnung“.
968;10 Arbeit, Studium & Kreativität;plat;Gehalt;Dnes si zapamätám slovo „plat“.;Heute merke ich mir das Wort „Gehalt“.
969;10 Arbeit, Studium & Kreativität;skúsenosť;Erfahrung;Dnes si zapamätám slovo „skúsenosť“.;Heute merke ich mir das Wort „Erfahrung“.
970;10 Arbeit, Studium & Kreativität;zručnosť;Fähigkeit;Dnes si zapamätám slovo „zručnosť“.;Heute merke ich mir das Wort „Fähigkeit“.
971;10 Arbeit, Studium & Kreativität;kariéra;Karriere;Dnes si zapamätám slovo „kariéra“.;Heute merke ich mir das Wort „Karriere“.
972;10 Arbeit, Studium & Kreativität;úspech;Erfolg;Dnes si zapamätám slovo „úspech“.;Heute merke ich mir das Wort „Erfolg“.
973;11 Freizeit, Natur & Körper;voľný čas;Freizeit;Dnes si zapamätám slovo „voľný čas“.;Heute merke ich mir das Wort „Freizeit“.
974;11 Freizeit, Natur & Körper;hobby;Hobby;Dnes si zapamätám slovo „hobby“.;Heute merke ich mir das Wort „Hobby“.
975;11 Freizeit, Natur & Körper;šport;Sport;Dnes si zapamätám slovo „šport“.;Heute merke ich mir das Wort „Sport“.
976;11 Freizeit, Natur & Körper;futbal;Fußball;Dnes si zapamätám slovo „futbal“.;Heute merke ich mir das Wort „Fußball“.
977;11 Freizeit, Natur & Körper;tenis;Tennis;Dnes si zapamätám slovo „tenis“.;Heute merke ich mir das Wort „Tennis“.
978;11 Freizeit, Natur & Körper;beh;Laufen;Dnes si zapamätám slovo „beh“.;Heute merke ich mir das Wort „Laufen“.
979;11 Freizeit, Natur & Körper;bicyklovanie;Radfahren;Dnes si zapamätám slovo „bicyklovanie“.;Heute merke ich mir das Wort „Radfahren“.
980;11 Freizeit, Natur & Körper;lezenie;Klettern;Dnes si zapamätám slovo „lezenie“.;Heute merke ich mir das Wort „Klettern“.
981;11 Freizeit, Natur & Körper;turistika;Wandern;Dnes si zapamätám slovo „turistika“.;Heute merke ich mir das Wort „Wandern“.
982;11 Freizeit, Natur & Körper;plávanie;Schwimmen;Dnes si zapamätám slovo „plávanie“.;Heute merke ich mir das Wort „Schwimmen“.
983;11 Freizeit, Natur & Körper;posilňovňa;Fitnessstudio;Dnes si zapamätám slovo „posilňovňa“.;Heute merke ich mir das Wort „Fitnessstudio“.
984;11 Freizeit, Natur & Körper;tréning;Training;Dnes si zapamätám slovo „tréning“.;Heute merke ich mir das Wort „Training“.
985;11 Freizeit, Natur & Körper;hra;Spiel;Dnes si zapamätám slovo „hra“.;Heute merke ich mir das Wort „Spiel“.
986;11 Freizeit, Natur & Körper;lopta;Ball;Dnes si zapamätám slovo „lopta“.;Heute merke ich mir das Wort „Ball“.
987;11 Freizeit, Natur & Körper;časopis;Zeitschrift;Dnes si zapamätám slovo „časopis“.;Heute merke ich mir das Wort „Zeitschrift“.
988;11 Freizeit, Natur & Körper;seriál;Serie;Dnes si zapamätám slovo „seriál“.;Heute merke ich mir das Wort „Serie“.
989;11 Freizeit, Natur & Körper;epizóda;Episode;Dnes si zapamätám slovo „epizóda“.;Heute merke ich mir das Wort „Episode“.
990;11 Freizeit, Natur & Körper;hudobník;Musiker;Dnes si zapamätám slovo „hudobník“.;Heute merke ich mir das Wort „Musiker“.
991;11 Freizeit, Natur & Körper;kapela;Band;Dnes si zapamätám slovo „kapela“.;Heute merke ich mir das Wort „Band“.
992;11 Freizeit, Natur & Körper;album;Album;Dnes si zapamätám slovo „album“.;Heute merke ich mir das Wort „Album“.
993;11 Freizeit, Natur & Körper;pes;Hund;Dnes si zapamätám slovo „pes“.;Heute merke ich mir das Wort „Hund“.
994;11 Freizeit, Natur & Körper;mačka;Katze;Dnes si zapamätám slovo „mačka“.;Heute merke ich mir das Wort „Katze“.
995;11 Freizeit, Natur & Körper;zviera;Tier;Dnes si zapamätám slovo „zviera“.;Heute merke ich mir das Wort „Tier“.
996;11 Freizeit, Natur & Körper;vták;Vogel;Dnes si zapamätám slovo „vták“.;Heute merke ich mir das Wort „Vogel“.
997;11 Freizeit, Natur & Körper;strom;Baum;Dnes si zapamätám slovo „strom“.;Heute merke ich mir das Wort „Baum“.
998;11 Freizeit, Natur & Körper;kvet;Blume;Dnes si zapamätám slovo „kvet“.;Heute merke ich mir das Wort „Blume“.
999;11 Freizeit, Natur & Körper;tráva;Gras;Dnes si zapamätám slovo „tráva“.;Heute merke ich mir das Wort „Gras“.
1000;11 Freizeit, Natur & Körper;kameň;Stein;Dnes si zapamätám slovo „kameň“.;Heute merke ich mir das Wort „Stein“.
